ID_Imovel,Titulo_Anuncio,Bairro,Tipo_Propriedade,Quartos,Valor_Diaria,Taxa_Limpeza,Nota_Avaliacao
30,studio vista pao de acucar,Botafogo,Studio,1,280.0,100.0,4.8
31,apto 1 quarto,Copacabana,Apartamento,1,200.0,80.0,
32,Cobertura Centro,Centro,Cobertura,2,600.0,150.0,4.3
33,casa ampla,,Casa,3,750.0,180.0,4.6
34,STUDIO COPACABANA,Copacabana,Studio,1,240.0,90.0,4.5
35,apto silencioso,Ipanema,Apartamento,2,450.0,120.0,4.7
36,cobertura incrivel,Barra da Tijuca,Cobertura,5,2200.0,400.0,4.9
37,CASA RECREIO,Recreio,Casa,3,700.0,150.0,4.6
38,studio lapa,Lapa,Studio,1,110.0,50.0,
39,Apto Design,Leblon,Apartamento,2,650.0,160.0,4.9
40,cobertura botafogo,,Cobertura,3,1300.0,250.0,4.8
41,casa verde,Barra da Tijuca,Casa,4,1100.0,200.0,4.7
42,STUDIO COMPACTO,Centro,Studio,1,90.0,40.0,3.9
43,apto vista cristo,Botafogo,Apartamento,2,380.0,110.0,4.6
44,Cobertura Panoramica,Copacabana,Cobertura,4,1900.0,350.0,
45,casa confortavel,,Casa,2,450.0,120.0,4.5
46,studio decorado,Ipanema,Studio,1,300.0,100.0,4.8
47,APTO ESPACOSO,Barra da Tijuca,Apartamento,4,900.0,220.0,4.7
48,cobertura solarium,Leblon,Cobertura,3,1700.0,300.0,4.9
49,Casa Histórica,Centro,Casa,3,550.0,150.0,4.4
50,studio varanda,Copacabana,Studio,1,260.0,90.0,4.6
51,apto iluminado,,Apartamento,2,320.0,100.0,
52,COBERTURA VINTAGE,Lapa,Cobertura,2,700.0,180.0,4.5
53,casa condominio,Barra da Tijuca,Casa,5,1800.0,400.0,4.8
54,Studio Pratico,Botafogo,Studio,1,180.0,70.0,4.4
55,apto familiar,Ipanema,Apartamento,3,800.0,180.0,4.7
56,cobertura com piscina,Recreio,Cobertura,4,1500.0,300.0,4.9
57,CASA BEIRA MAR,,Casa,4,2000.0,450.0,5.0
58,studio executivo 2,Centro,Studio,1,170.0,60.0,4.2
59,apto varanda gourmet,Leblon,Apartamento,3,1100.0,250.0,
60,Cobertura Minimalista,Copacabana,Cobertura,2,1000.0,220.0,4.8
61,casa de praia,Recreio,Casa,3,850.0,180.0,4.6
62,STUDIO NOVO,Barra da Tijuca,Studio,1,250.0,90.0,4.7
63,apto aconchego,,Apartamento,1,190.0,70.0,4.5
64,cobertura leste,Ipanema,Cobertura,3,1550.0,300.0,4.9
65,Casa Triplex,Barra da Tijuca,Casa,5,2100.0,400.0,
66,studio loft,Botafogo,Studio,1,280.0,100.0,4.8
67,APTO CLASSICO,Copacabana,Apartamento,3,750.0,180.0,4.6
68,cobertura duplex centro,Centro,Cobertura,2,800.0,200.0,4.4
69,casa rustica,,Casa,2,350.0,100.0,4.5
70,studio laranjeiras,Laranjeiras,Studio,1,200.0,80.0,4.6
71,apto novo,Barra da Tijuca,Apartamento,2,400.0,120.0,
72,COBERTURA SUL,Leblon,Cobertura,4,2100.0,400.0,5.0
73,casa de campo 2,Jacarepagua,Casa,3,500.0,150.0,4.3
74,Studio Work,Centro,Studio,1,140.0,50.0,4.1
75,apto decorado,Ipanema,Apartamento,2,500.0,130.0,4.7
76,cobertura premium,,Cobertura,5,2800.0,500.0,4.9
77,CASA DOS SONHOS,Barra da Tijuca,Casa,5,3000.0,600.0,5.0
78,studio vista mar,Copacabana,Studio,1,320.0,100.0,
79,Apto Lindo,Leblon,Apartamento,2,600.0,150.0,4.8
80,cobertura moderna,Botafogo,Cobertura,3,1400.0,250.0,4.7
81,casa geminada,Recreio,Casa,3,650.0,150.0,4.5
82,STUDIO CLEAN,Lapa,Studio,1,120.0,50.0,4.0
83,apto espaco,,Apartamento,4,1000.0,250.0,4.6
84,Cobertura Ipanema 2,Ipanema,Cobertura,3,1650.0,300.0,
85,Casa Condominio 2,Barra da Tijuca,Casa,4,1600.0,300.0,4.8
86,studio sul,Botafogo,Studio,1,210.0,80.0,4.5
87,APTO RECREIO,Recreio,Apartamento,2,300.0,100.0,4.4
88,cobertura norte,,Cobertura,2,900.0,200.0,4.6
89,casa centro,Centro,Casa,2,400.0,100.0,4.2
90,studio centro 2,Centro,Studio,1,100.0,50.0,
91,apto 3 qtos,Copacabana,Apartamento,3,650.0,160.0,4.7
92,COBERTURA OESTE,Barra da Tijuca,Cobertura,4,1800.0,350.0,4.9
93,casa barra,Barra da Tijuca,Casa,3,950.0,200.0,4.6
94,Studio Compacto 2,Copacabana,Studio,1,230.0,80.0,4.5
95,Apto Luxo,,Apartamento,4,1500.0,300.0,4.9
96,cobertura sul 2,Leblon,Cobertura,3,1750.0,320.0,
97,casa colonial,Centro,Casa,4,800.0,200.0,4.4
6,STUDIO MODERNO,Botafogo,Studio,1,250.0,90.0,4.6
19,APTO FAMILIA,Ipanema,Apartamento,3,850.0,180.0,4.8
81,casa geminada,Recreio,Casa,3,650.0,150.0,4.5
